[04авг.2026 13:26:43.145] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.ancient_debris.break
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.ancient_debris.step
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.ancient_debris.place
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.ancient_debris.hit
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.ancient_debris.fall
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.anvil.break
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.anvil.destroy
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.anvil.fall
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.anvil.hit
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.anvil.land
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.anvil.place
[04авг.2026 13:26:43.146] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.anvil.step
[04авг.2026 13:26:43.147] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:block.anvil.use
[04авг.2026 13:26:43.147] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.armadillo.eat
[04авг.2026 13:26:43.147] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.armadillo.hurt
[04авг.2026 13:26:43.147] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.armadillo.hurt_reduced
[04авг.2026 13:26:43.147] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.armadillo.ambient
[04авг.2026 13:26:43.147] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.armadillo.step
[04авг.2026 13:26:43.147] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.armadillo.death
[04авг.2026 13:26:43.147] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.armadillo.roll
[04авг.2026 13:26:43.147] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.armadillo.land
[04авг.2026 13:26:43.147] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.armadillo.scute_drop
[04авг.2026 13:26:43.147] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.armadillo.unroll_finish
[04авг.2026 13:26:43.147] [Render thread/WARN] [gvc/]: Missing sound for event: minecraft:entity.armadillo.peek
